;sample_id;id_file;id_modif;label_incoherence;username;user_id;registered;format;model;id;parentid;title;minor;comment;modif;modif_remove;modif_add;timestamp;filt_bot;filt_coher;filt_confli;filt_contradic;filt_erreur;filt_erron;filt_faux;filt_frappe;filt_gramma;filt_ortho;filt_revert;filt_sens;filt_tromp;filt_typo;filt_vandalisme;filt_vraise
0;p824124p876600_240256;p824124p876600;240256;False;Stylabo;838217.0;True;text/x-wiki;wikitext;53485541;49796214.0;Centrale nucléaire de Golfech;False;/* Histoire */;"- Après la [[catastrophe de Tchernobyl]] en 1987, le mouvement [[antinucléaire]] se réveille. La nouvelle coordination [[Stop Golfech]], créée à l'occasion de l'occupation d'une [[tour de réfrigération]] de la centrale par 5 activistes pendant 5 jours, tente de bloquer le démarrage de la centrale. La mise en route du réacteur {{Numéro}}1 aura finalement lieu le 24 avril 1990.
?                                              ^
+ Après la [[catastrophe de Tchernobyl]] en 1986, le mouvement [[antinucléaire]] se réveille. La nouvelle coordination [[Stop Golfech]], créée à l'occasion de l'occupation d'une [[tour de réfrigération]] de la centrale par 5 activistes pendant 5 jours, tente de bloquer le démarrage de la centrale. La mise en route du réacteur {{Numéro}}1 aura finalement lieu le 24 avril 1990.
?                                              ^
- Aujourd'hui, la centrale de Golfech comprend 2 réacteurs bien que le site d'exploitation ait été étudié pour 4. 
?                                                                                                                -
+ Aujourd'hui, la centrale de Golfech comprend 2 réacteurs bien que le site d'exploitation ait été étudié pour 4.
";"Après la [[catastrophe de Tchernobyl]] en 1987, le mouvement [[antinucléaire]] se réveille. La nouvelle coordination [[Stop Golfech]], créée à l'occasion de l'occupation d'une [[tour de réfrigération]] de la centrale par 5 activistes pendant 5 jours, tente de bloquer le démarrage de la centrale. La mise en route du réacteur {{Numéro}}1 aura finalement lieu le 24 avril 1990.
Aujourd'hui, la centrale de Golfech comprend 2 réacteurs bien que le site d'exploitation ait été étudié pour 4. 
";"Après la [[catastrophe de Tchernobyl]] en 1986, le mouvement [[antinucléaire]] se réveille. La nouvelle coordination [[Stop Golfech]], créée à l'occasion de l'occupation d'une [[tour de réfrigération]] de la centrale par 5 activistes pendant 5 jours, tente de bloquer le démarrage de la centrale. La mise en route du réacteur {{Numéro}}1 aura finalement lieu le 24 avril 1990.
Aujourd'hui, la centrale de Golfech comprend 2 réacteurs bien que le site d'exploitation ait été étudié pour 4.
";2010-05-21T10:04:26Z;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
1;p824124p876600_29872;p824124p876600;29872;False;82.10.113.244;;False;text/x-wiki;wikitext;25695080;24292061.0;Weymouth Football Club;False;;"- '''Weymouth Football Club''' (également connu sous le nom de ''Weymouth'' ou ''The Terras'') est un club de [[football]] [[Angleterre|anglais]] fondé en 1890, évoluant dans le championnat de [[Conference National]]. Weymouth a passé la majorité de son histoire dans les divisions de [[non-league football]], remportant en 2006 la [[Conference South]]. Le club joue dans le stade ""The Wessex Stadium"" à [[Weymouth]], [[Dorset (comté)|Dorset]], qui possède une capacité de 6 500 places. L'entraîneur actuel est Jason Tindall. 
?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ^^^^^^^^^^^^
+ '''Weymouth Football Club''' (également connu sous le nom de ''Weymouth'' ou ''The Terras'') est un club de [[football]] [[Angleterre|anglais]] fondé en 1890, évoluant dans le championnat de [[Conference National]]. Weymouth a passé la majorité de son histoire dans les divisions de [[non-league football]], remportant en 2006 la [[Conference South]]. Le club joue dans le stade ""The Wessex Stadium"" à [[Weymouth]], [[Dorset (comté)|Dorset]], qui possède une capacité de 6 500 places. L'entraîneur actuel est John Hollins. 
?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ^^^^^^^^^^^
";"'''Weymouth Football Club''' (également connu sous le nom de ''Weymouth'' ou ''The Terras'') est un club de [[football]] [[Angleterre|anglais]] fondé en 1890, évoluant dans le championnat de [[Conference National]]. Weymouth a passé la majorité de son histoire dans les divisions de [[non-league football]], remportant en 2006 la [[Conference South]]. Le club joue dans le stade ""The Wessex Stadium"" à [[Weymouth]], [[Dorset (comté)|Dorset]], qui possède une capacité de 6 500 places. L'entraîneur actuel est Jason Tindall. 
";"'''Weymouth Football Club''' (également connu sous le nom de ''Weymouth'' ou ''The Terras'') est un club de [[football]] [[Angleterre|anglais]] fondé en 1890, évoluant dans le championnat de [[Conference National]]. Weymouth a passé la majorité de son histoire dans les divisions de [[non-league football]], remportant en 2006 la [[Conference South]]. Le club joue dans le stade ""The Wessex Stadium"" à [[Weymouth]], [[Dorset (comté)|Dorset]], qui possède une capacité de 6 500 places. L'entraîneur actuel est John Hollins. 
";2008-02-03T17:01:24Z;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
2;p824124p876600_126165;p824124p876600;126165;False;Daniel*D;103148.0;True;text/x-wiki;wikitext;83279779;83279565.0;Marcel Peyrouton;False;retouche de la modification précédente;"- Il a occupé plusieurs postes de haut fonctionnaire en [[Afrique française du Nord]] : secrétaire général de l'[[Algérie française|Algérie]] (1931-1933)<ref name=""Dictionnaire historique"">{{Ouvrage|prénom1=Jean-Paul|nom1= Cointet |lien auteur1=Jean-Paul Cointet|prénom2=Michèle|nom2=Cointet|lien auteur2=Michèle Cointet|titre= Dictionnaire historique de la France sous l'Occupation|lien éditeur=Librairie Jules Tallandier|éditeur=Tallandier|lieu= Paris|année=2000|pages totales=732|isbn=978-2-235-02234-7|passage=565}}.</ref>, [[résident général de France en Tunisie]] de juillet [[1933]] à mars [[1936]]<ref name=""Dictionnaire historique"" />, puis [[Liste des résidents généraux de France au Maroc|au Maroc]] d'avril à août 1936<ref>{{Histoire du Maroc (Abitbol)}}, {{p.|461}}.</ref>. Son passage par la Tunisie sera marqué par l'augmentation sensible de la répression à l'égard des militants nationalistes du [[Néo-Destour]]. Les mesures répressives de Peyrouton s'intensifieront en septembre [[1934]] avec l'envoi en exil forcé dans les territoires militaires du Sud des leaders du [[Mouvement national tunisien|mouvement national]]. Son remplacement par [[Pierre Viénot]] est perçu par les Tunisiens comme un geste de la clémence adoptée par le gouvernement français du [[Front populaire (France)|Front Populaire]]<ref>{{Ouvrage|prénom1=Roger|nom1=Casemajor|lien auteur1=|prénom2=Hassine|nom2=Raouf Hamza|lien auteur2=|titre=L'Action nationaliste en Tunisie|sous-titre=Du pacte fondamental de M'hamed Bey à la mort de Moncef Bey. 1857-1948|lien éditeur=|éditeur=Sud Éditions|lieu=Tunis|année=2009|pages totales=275|isbn=978-9-938-01006-0|passage=84-90}}.</ref>.
?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ^^^^^^^^^^^^                                                           ^
+ Il a occupé plusieurs postes de haut fonctionnaire en [[Afrique française du Nord]] : secrétaire général de l'[[Algérie française|Algérie]] (1931-1933)<ref name=""Dictionnaire historique"">{{Ouvrage|prénom1=Jean-Paul|nom1= Cointet |lien auteur1=Jean-Paul Cointet|prénom2=Michèle|nom2=Cointet|lien auteur2=Michèle Cointet|titre= Dictionnaire historique de la France sous l'Occupation|lien éditeur=Librairie Jules Tallandier|éditeur=Tallandier|lieu= Paris|année=2000|pages totales=732|isbn=978-2-235-02234-7|passage=565}}.</ref>, [[résident général de France en Tunisie]] de juillet [[1933]] à mars [[1936]]<ref name=""Dictionnaire historique"" />, puis [[Liste des résidents généraux de France au Maroc|au Maroc]] d'avril à août 1936<ref>{{Histoire du Maroc (Abitbol)}}, {{p.|461}}.</ref>. Son passage par la Tunisie sera marqué par l'augmentation sensible de la répression à l'égard des militants nationalistes du [[Néo-Destour]]. Les mesures répressives de Peyrouton s'intensifieront en septembre [[1934]] avec l'envoi en exil forcé dans les territoires militaires du Sud des leaders du [[Mouvement national tunisien|mouvement national]]. Son remplacement par [[Pierre Viénot]] est perçu par les Tunisiens comme un geste de la clémence adoptée par le gouvernement français du [[Front populaire (France)|Front Populaire]]<ref>{{Ouvrage|prénom1=Roger|nom1=Casemajor|lien auteur1=|prénom2=Hassine|nom2=Raouf Hamza|lien auteur2=|titre=L'Action nationaliste en Tunisie – Du pacte fondamental de M'hamed Bey à la mort de Moncef Bey, 1857-1948|lien éditeur=|éditeur=Sud Éditions|lieu=Tunis|année=2009|pages totales=275|isbn=978-9-938-01006-0|passage=84-90}}.</ref>.
?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ^^^                                                           ^
- [[Léon Blum]] le remplace par le général[[Charles Noguès|Noguès]], mais le nomme ambassadeur de France à [[Buenos-Aires]]. Il est de nouveau nommé résident général de Tunisie, par [[Paul Reynaud]], en juin [[1940]].
+ [[Léon Blum]] le remplace par le général [[Charles Noguès|Noguès]], mais le nomme ambassadeur de France à [[Buenos-Aires]]. Il est de nouveau nommé résident général de Tunisie, par [[Paul Reynaud]], en juin [[1940]].
?                                         +
- * Marcel Peyrouton, ''Itinéraire de Casablanca à Tunis - 1922'', Les Écrivains français, Paris, 1936.
?                                                        ^
+ * Marcel Peyrouton, ''Itinéraire de Casablanca à Tunis – 1922'', Les Écrivains français, Paris, 1936.
?                                                        ^
- * Marcel Peyrouton, ''Histoire générale du Maghreb - Maroc, Algérie, Tunisie - Des origines à nos jours'', [[éditions Albin Michel]], Paris, 1966.
?                                                    ^                         ^
+ * Marcel Peyrouton, ''Histoire générale du Maghreb – Maroc, Algérie, Tunisie – Des origines à nos jours'', [[éditions Albin Michel]], Paris, 1966.
?                                                    ^                         ^
";"Il a occupé plusieurs postes de haut fonctionnaire en [[Afrique française du Nord]] : secrétaire général de l'[[Algérie française|Algérie]] (1931-1933)<ref name=""Dictionnaire historique"">{{Ouvrage|prénom1=Jean-Paul|nom1= Cointet |lien auteur1=Jean-Paul Cointet|prénom2=Michèle|nom2=Cointet|lien auteur2=Michèle Cointet|titre= Dictionnaire historique de la France sous l'Occupation|lien éditeur=Librairie Jules Tallandier|éditeur=Tallandier|lieu= Paris|année=2000|pages totales=732|isbn=978-2-235-02234-7|passage=565}}.</ref>, [[résident général de France en Tunisie]] de juillet [[1933]] à mars [[1936]]<ref name=""Dictionnaire historique"" />, puis [[Liste des résidents généraux de France au Maroc|au Maroc]] d'avril à août 1936<ref>{{Histoire du Maroc (Abitbol)}}, {{p.|461}}.</ref>. Son passage par la Tunisie sera marqué par l'augmentation sensible de la répression à l'égard des militants nationalistes du [[Néo-Destour]]. Les mesures répressives de Peyrouton s'intensifieront en septembre [[1934]] avec l'envoi en exil forcé dans les territoires militaires du Sud des leaders du [[Mouvement national tunisien|mouvement national]]. Son remplacement par [[Pierre Viénot]] est perçu par les Tunisiens comme un geste de la clémence adoptée par le gouvernement français du [[Front populaire (France)|Front Populaire]]<ref>{{Ouvrage|prénom1=Roger|nom1=Casemajor|lien auteur1=|prénom2=Hassine|nom2=Raouf Hamza|lien auteur2=|titre=L'Action nationaliste en Tunisie|sous-titre=Du pacte fondamental de M'hamed Bey à la mort de Moncef Bey. 1857-1948|lien éditeur=|éditeur=Sud Éditions|lieu=Tunis|année=2009|pages totales=275|isbn=978-9-938-01006-0|passage=84-90}}.</ref>.
[[Léon Blum]] le remplace par le général[[Charles Noguès|Noguès]], mais le nomme ambassadeur de France à [[Buenos-Aires]]. Il est de nouveau nommé résident général de Tunisie, par [[Paul Reynaud]], en juin [[1940]].
* Marcel Peyrouton, ''Itinéraire de Casablanca à Tunis - 1922'', Les Écrivains français, Paris, 1936.
* Marcel Peyrouton, ''Histoire générale du Maghreb - Maroc, Algérie, Tunisie - Des origines à nos jours'', [[éditions Albin Michel]], Paris, 1966.
";"Il a occupé plusieurs postes de haut fonctionnaire en [[Afrique française du Nord]] : secrétaire général de l'[[Algérie française|Algérie]] (1931-1933)<ref name=""Dictionnaire historique"">{{Ouvrage|prénom1=Jean-Paul|nom1= Cointet |lien auteur1=Jean-Paul Cointet|prénom2=Michèle|nom2=Cointet|lien auteur2=Michèle Cointet|titre= Dictionnaire historique de la France sous l'Occupation|lien éditeur=Librairie Jules Tallandier|éditeur=Tallandier|lieu= Paris|année=2000|pages totales=732|isbn=978-2-235-02234-7|passage=565}}.</ref>, [[résident général de France en Tunisie]] de juillet [[1933]] à mars [[1936]]<ref name=""Dictionnaire historique"" />, puis [[Liste des résidents généraux de France au Maroc|au Maroc]] d'avril à août 1936<ref>{{Histoire du Maroc (Abitbol)}}, {{p.|461}}.</ref>. Son passage par la Tunisie sera marqué par l'augmentation sensible de la répression à l'égard des militants nationalistes du [[Néo-Destour]]. Les mesures répressives de Peyrouton s'intensifieront en septembre [[1934]] avec l'envoi en exil forcé dans les territoires militaires du Sud des leaders du [[Mouvement national tunisien|mouvement national]]. Son remplacement par [[Pierre Viénot]] est perçu par les Tunisiens comme un geste de la clémence adoptée par le gouvernement français du [[Front populaire (France)|Front Populaire]]<ref>{{Ouvrage|prénom1=Roger|nom1=Casemajor|lien auteur1=|prénom2=Hassine|nom2=Raouf Hamza|lien auteur2=|titre=L'Action nationaliste en Tunisie – Du pacte fondamental de M'hamed Bey à la mort de Moncef Bey, 1857-1948|lien éditeur=|éditeur=Sud Éditions|lieu=Tunis|année=2009|pages totales=275|isbn=978-9-938-01006-0|passage=84-90}}.</ref>.
[[Léon Blum]] le remplace par le général [[Charles Noguès|Noguès]], mais le nomme ambassadeur de France à [[Buenos-Aires]]. Il est de nouveau nommé résident général de Tunisie, par [[Paul Reynaud]], en juin [[1940]].
* Marcel Peyrouton, ''Itinéraire de Casablanca à Tunis – 1922'', Les Écrivains français, Paris, 1936.
* Marcel Peyrouton, ''Histoire générale du Maghreb – Maroc, Algérie, Tunisie – Des origines à nos jours'', [[éditions Albin Michel]], Paris, 1966.
";2012-09-22T16:51:21Z;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
3;p824124p876600_1153310;p824124p876600;1153310;False;90.16.30.48;;False;text/x-wiki;wikitext;15915948;13477683.0;Grom Hellscream;False;;"+ '''Grom Hellscream''' est un personnage issu de l'univers du célèbre jeu [[Warcraft]] (des studios [[Blizzard]]). Malgré sa mort il est toujours tenu en trés grande estime par l'ensemble de son peuple, grom ayant en éffet libéré celui ci a tout jamais de l'influence du démon du pacte de sang.
- '''Grom Hellscream''' est un personnage issu de l'univers du célèbre jeu [[Warcraft]] (des studios [[Blizzard]]).
- 
";"'''Grom Hellscream''' est un personnage issu de l'univers du célèbre jeu [[Warcraft]] (des studios [[Blizzard]]).

";"'''Grom Hellscream''' est un personnage issu de l'univers du célèbre jeu [[Warcraft]] (des studios [[Blizzard]]). Malgré sa mort il est toujours tenu en trés grande estime par l'ensemble de son peuple, grom ayant en éffet libéré celui ci a tout jamais de l'influence du démon du pacte de sang.
";2007-04-14T22:07:17Z;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
4;p824124p876600_420520;p824124p876600;420520;False;90.6.181.40;;False;text/x-wiki;wikitext;133141060;133140999.0;Droits de l'enfant;False;;"- Les droits de l'enfant son constituer de 5 chose qui concerne les droit de l'enfant
+ Les droits de l'enfant son constituer de 5 chose qui concerne les droit de l'enfant être bien nourris avoir une famille aller à l'école et d'être protégées
";"Les droits de l'enfant son constituer de 5 chose qui concerne les droit de l'enfant
";"Les droits de l'enfant son constituer de 5 chose qui concerne les droit de l'enfant être bien nourris avoir une famille aller à l'école et d'être protégées
";2016-12-30T12:38:31Z;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
5;p824124p876600_223366;p824124p876600;223366;False;Michel Boutet;70028.0;True;text/x-wiki;wikitext;36165374;34299655.0;Marc Beaudet;False;Modèle Date;"- '''Marc Beaudet''' est un producteur, monteur et québécois canadien né en [[1919]] à [[Thetford Mines]] ([[Canada]]), décédé en [[1978]] à [[Montréal]] ([[Canada]]).
+ '''Marc Beaudet''' est un producteur, monteur et québécois canadien né en [[1919 au Québec|1919]] à [[Thetford Mines]] ([[Canada]]), décédé en [[1978 au Québec|1978]] à [[Montréal]] ([[Canada]]).
?                                                                                 +++++++++++++++                                                      +++++++++++++++
- {{Portail|cinéma|réalisation}}
+ {{Portail|Québec|cinéma|réalisation}}
?          +++++++
";"'''Marc Beaudet''' est un producteur, monteur et québécois canadien né en [[1919]] à [[Thetford Mines]] ([[Canada]]), décédé en [[1978]] à [[Montréal]] ([[Canada]]).
{{Portail|cinéma|réalisation}}
";"'''Marc Beaudet''' est un producteur, monteur et québécois canadien né en [[1919 au Québec|1919]] à [[Thetford Mines]] ([[Canada]]), décédé en [[1978 au Québec|1978]] à [[Montréal]] ([[Canada]]).
{{Portail|Québec|cinéma|réalisation}}
";2008-12-15T14:46:47Z;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
6;p824124p876600_708422;p824124p876600;708422;False;Fagairolles 34;60972.0;True;text/x-wiki;wikitext;83007842;79603996.0;Guy Coquille;False;;"- '''Guy Coquille''' ([[11 novembre]] [[1523]], [[Decize]] en [[Nivernais]] - [[11 mars]] [[1603]]), en latin ''Conchylius'', sieur de [[Romenay]] ; jurisconsulte et poète français. Avocat à Paris, puis à Nevers (1569), procureur général du duché de Nevers (1571), il s’opposa à la Ligue. Représentant du tiers aux états de Blois (1576 et 1588), il fut le principal rédacteur des Cahiers de cet ordre.
+ '''Guy Coquille''' ([[11 novembre]] [[1523]], [[Decize]] en [[Nivernais]] - [[11 mars]] [[1603]]), en latin ''Conchylius'', sieur de [[Romenay]] ; jurisconsulte et poète français. Avocat à Paris, puis à Nevers (1569), procureur général du [[Comté de Nevers|duché de Nevers]] (1571), il s’opposa à la Ligue. Représentant du tiers aux états de Blois (1576 et 1588), il fut le principal rédacteur des Cahiers de cet ordre.
?                                                                                                                                                                                                                                                ++++++++++++++++++               ++
";"'''Guy Coquille''' ([[11 novembre]] [[1523]], [[Decize]] en [[Nivernais]] - [[11 mars]] [[1603]]), en latin ''Conchylius'', sieur de [[Romenay]] ; jurisconsulte et poète français. Avocat à Paris, puis à Nevers (1569), procureur général du duché de Nevers (1571), il s’opposa à la Ligue. Représentant du tiers aux états de Blois (1576 et 1588), il fut le principal rédacteur des Cahiers de cet ordre.
";"'''Guy Coquille''' ([[11 novembre]] [[1523]], [[Decize]] en [[Nivernais]] - [[11 mars]] [[1603]]), en latin ''Conchylius'', sieur de [[Romenay]] ; jurisconsulte et poète français. Avocat à Paris, puis à Nevers (1569), procureur général du [[Comté de Nevers|duché de Nevers]] (1571), il s’opposa à la Ligue. Représentant du tiers aux états de Blois (1576 et 1588), il fut le principal rédacteur des Cahiers de cet ordre.
";2012-09-14T14:00:27Z;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
7;p824124p876600_809205;p824124p876600;809205;False;81.67.163.189;;False;text/x-wiki;wikitext;7932973;7932937.0;Hitman: Blood Money;False;;"- '''''Hitman: Contracts''''' est un [[jeu vidéo]] 
?              ^  ^^^^^^
+ '''''Hitman: Blood Money''''' est un [[jeu vidéo]] 
?              ^^^^^^^  ^^
";"'''''Hitman: Contracts''''' est un [[jeu vidéo]] 
";"'''''Hitman: Blood Money''''' est un [[jeu vidéo]] 
";2006-06-13T20:26:07Z;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
8;p824124p876600_370396;p824124p876600;370396;False;83.115.86.64;;False;text/x-wiki;wikitext;30456805;26363996.0;Howlin' Pelle Almqvist;False;;"- '''Howlin' Pelle Almqvist''' est né le [[29 mai]] [[1978]] à [[Fagersta]], en [[Suède]]. Il est le leader du groupe suédois [[The Hives]] qu'il créé en [[1993]] avec son frère [[Nicholaus Arson]]. Comme le reste du groupe, il provient de la ville de Fagersta, une petite ville de 11 000 habitants.
+ '''Howlin' Pelle Almqvist''' est né le [[29 mai]] [[1978]] à [[Fagersta]], en [[Suède]]. Il est le leader du groupe suédois [[The Hives]] qu'il a créé en [[1993]] avec son frère [[Nicholaus Arson]].Le groupe a été repéré, selon la biographie du groupe, par le  promoteur/manageur/compositeur Randy Fitzsimmons (qui semblerait être un personnage inventé par le groupe lui meme). 
+ Tout les membres du groupe proviennent de la ville de Fagersta, petite ville de 11 000 habitants.
- Son jeu de scène extravagant et son égo volontairement surdimensionné en font un des chanteurs les plus excitants à voir en concert. Il harangue continuellement le public, l'invitant en permanence à danser. Son énergie est contagieuse.
+ Son jeu de scène extravagant et son égo volontairement surdimensionné en font un des chanteurs les plus excitants à voir en concert. Il harangue continuellement le public, l'invitant en permanence à danser. Son énergie est contagieuse. Le groupe a meme été élu ""meilleur groupe live du monde"" par le magazine [[""Spin Magazine""]], qui a également placé Howlin comme étant l'un des ""50 meilleurs frontmen de tout les temps"".
+ Il est aussi célébre pour ses paroles plus ou moins arrogante comme par exemple en Australie; il a déclaré à la foule ""Bad music is the devil and I will be your exorcising priest, helpin' you out! How does that feel Sydney?"" et a finit le concert par : ""Thank you for flying Hives Airlines. We hope you had a great flight and decide to return again soon!""
+ 
+ Howlin était le compagnon de [[Maria Andersson]] (chanteuse de Sahara Hotnights) jusqu'en fin 2006.
+ 
";"'''Howlin' Pelle Almqvist''' est né le [[29 mai]] [[1978]] à [[Fagersta]], en [[Suède]]. Il est le leader du groupe suédois [[The Hives]] qu'il créé en [[1993]] avec son frère [[Nicholaus Arson]]. Comme le reste du groupe, il provient de la ville de Fagersta, une petite ville de 11 000 habitants.
Son jeu de scène extravagant et son égo volontairement surdimensionné en font un des chanteurs les plus excitants à voir en concert. Il harangue continuellement le public, l'invitant en permanence à danser. Son énergie est contagieuse.
";"'''Howlin' Pelle Almqvist''' est né le [[29 mai]] [[1978]] à [[Fagersta]], en [[Suède]]. Il est le leader du groupe suédois [[The Hives]] qu'il a créé en [[1993]] avec son frère [[Nicholaus Arson]].Le groupe a été repéré, selon la biographie du groupe, par le  promoteur/manageur/compositeur Randy Fitzsimmons (qui semblerait être un personnage inventé par le groupe lui meme). 
Tout les membres du groupe proviennent de la ville de Fagersta, petite ville de 11 000 habitants.
Son jeu de scène extravagant et son égo volontairement surdimensionné en font un des chanteurs les plus excitants à voir en concert. Il harangue continuellement le public, l'invitant en permanence à danser. Son énergie est contagieuse. Le groupe a meme été élu ""meilleur groupe live du monde"" par le magazine [[""Spin Magazine""]], qui a également placé Howlin comme étant l'un des ""50 meilleurs frontmen de tout les temps"".
Il est aussi célébre pour ses paroles plus ou moins arrogante comme par exemple en Australie; il a déclaré à la foule ""Bad music is the devil and I will be your exorcising priest, helpin' you out! How does that feel Sydney?"" et a finit le concert par : ""Thank you for flying Hives Airlines. We hope you had a great flight and decide to return again soon!""

Howlin était le compagnon de [[Maria Andersson]] (chanteuse de Sahara Hotnights) jusqu'en fin 2006.

";2008-06-09T14:57:44Z;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
9;p824124p876600_194930;p824124p876600;194930;False;Padadim;1395657.0;True;text/x-wiki;wikitext;90887759;90572750.0;Berliet;False;/* Des difficultés de l'entre-deux-guerres */;"- Des automobiles de 12 CV<br /> ({{Unité|2613|cm{{3}}}}), de 15 CV ({{Unité|3308|cm{{3}}}}) et de 22 CV ({{Unité|4398|cm{{3}}}}) sont produites. Le modèle VB était une copie conforme de la [[Dodge]] et devait sortir au rythme de 100 véhicules/jour. En conséquence, Berliet connaît des difficultés financières et les pertes atteignent 55 millions de francs<ref name =""Le Monde""/> menaçant l'entreprise de disparaitre<ref name =""Le Monde""/>. Elle est placée temporairement sous administration judiciaire en [[1921]]. Marius Berliet qui possède alors 88% des actions ne peut régler les dettes et la société passe sous le contrôle des banques<ref name =""Le Monde""/>. Marius Berliet ne reprendra le plein contrôle de son entreprise qu'en 1929 après l'apuration des dettes<ref name =""Le Monde""/>, aidé en cela par la forte croissance entre 1922 et 1929, croissance qui retrouve son niveau d'avant guerre, autour de 25% par an<ref name =""Le Monde""/>.
?                            ---
+ Des automobiles de 12 CV<br ({{Unité|2613|cm{{3}}}}), de 15 CV ({{Unité|3308|cm{{3}}}}) et de 22 CV ({{Unité|4398|cm{{3}}}}) sont produites. Le modèle VB était une copie conforme de la [[Dodge]] et devait sortir au rythme de 100 véhicules/jour. En conséquence, Berliet connaît des difficultés financières et les pertes atteignent 55 millions de francs<ref name =""Le Monde""/> menaçant l'entreprise de disparaitre<ref name =""Le Monde""/>. Elle est placée temporairement sous administration judiciaire en [[1921]]. Marius Berliet qui possède alors 88% des actions ne peut régler les dettes et la société passe sous le contrôle des banques<ref name =""Le Monde""/>. Marius Berliet ne reprendra le plein contrôle de son entreprise qu'en 1929 après l'apuration des dettes<ref name =""Le Monde""/>, aidé en cela par la forte croissance entre 1922 et 1929, croissance qui retrouve son niveau d'avant guerre, autour de 25% par an<ref name =""Le Monde""/>.
";"Des automobiles de 12 CV<br /> ({{Unité|2613|cm{{3}}}}), de 15 CV ({{Unité|3308|cm{{3}}}}) et de 22 CV ({{Unité|4398|cm{{3}}}}) sont produites. Le modèle VB était une copie conforme de la [[Dodge]] et devait sortir au rythme de 100 véhicules/jour. En conséquence, Berliet connaît des difficultés financières et les pertes atteignent 55 millions de francs<ref name =""Le Monde""/> menaçant l'entreprise de disparaitre<ref name =""Le Monde""/>. Elle est placée temporairement sous administration judiciaire en [[1921]]. Marius Berliet qui possède alors 88% des actions ne peut régler les dettes et la société passe sous le contrôle des banques<ref name =""Le Monde""/>. Marius Berliet ne reprendra le plein contrôle de son entreprise qu'en 1929 après l'apuration des dettes<ref name =""Le Monde""/>, aidé en cela par la forte croissance entre 1922 et 1929, croissance qui retrouve son niveau d'avant guerre, autour de 25% par an<ref name =""Le Monde""/>.
";"Des automobiles de 12 CV<br ({{Unité|2613|cm{{3}}}}), de 15 CV ({{Unité|3308|cm{{3}}}}) et de 22 CV ({{Unité|4398|cm{{3}}}}) sont produites. Le modèle VB était une copie conforme de la [[Dodge]] et devait sortir au rythme de 100 véhicules/jour. En conséquence, Berliet connaît des difficultés financières et les pertes atteignent 55 millions de francs<ref name =""Le Monde""/> menaçant l'entreprise de disparaitre<ref name =""Le Monde""/>. Elle est placée temporairement sous administration judiciaire en [[1921]]. Marius Berliet qui possède alors 88% des actions ne peut régler les dettes et la société passe sous le contrôle des banques<ref name =""Le Monde""/>. Marius Berliet ne reprendra le plein contrôle de son entreprise qu'en 1929 après l'apuration des dettes<ref name =""Le Monde""/>, aidé en cela par la forte croissance entre 1922 et 1929, croissance qui retrouve son niveau d'avant guerre, autour de 25% par an<ref name =""Le Monde""/>.
";2013-03-19T16:00:30Z;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
