	sample_id	id_file	id_modif	label_incoherence	username	user_id	registered	format	model	id	parentid	title	minor	comment	modif	modif_remove	modif_add	timestamp	filt_bot	filt_coher	filt_confli	filt_contradic	filt_erreur	filt_erron	filt_faux	filt_frappe	filt_gramma	filt_ortho	filt_revert	filt_sens	filt_tromp	filt_typo	filt_vandalisme	filt_vraise
0	p4830739p4970702_169675	p4830739p4970702	169675	False	ZOTHOP	438400.0	True	text/x-wiki	wikitext	56161293	55934454.0	Canestre	False	ajout liens internes et catégorisation	"- La canestre ( mot d' une région de France, en l' occurence la Corse ) désigne un gâteau corse en forme généralement de cercle, d' où son nom ( du latin canistrum : panier circulaire ). Il est fait d' une pâte briochée. On en trouve, notamment, à Petreto-Becchisano ( Corse-du-Sud ).
+ La canestre ( mot d' une région de [[France]], en l' occurence la [[Corse]] ) désigne un [[gâteau]] corse en forme généralement de cercle, d' où son nom ( du latin canistrum : panier circulaire ). Il est fait d' une pâte [[brioché]]e. On en trouve, notamment, à Petreto-Becchisano ( [[Corse-du-Sud]] ).
?                                    ++      ++                     ++     ++              ++      ++                                                                                                                          ++       ++                                                   ++            ++
+ 
+ 
+ 
+ [[catégorie:pâtisserie corse]]
"	"La canestre ( mot d' une région de France, en l' occurence la Corse ) désigne un gâteau corse en forme généralement de cercle, d' où son nom ( du latin canistrum : panier circulaire ). Il est fait d' une pâte briochée. On en trouve, notamment, à Petreto-Becchisano ( Corse-du-Sud ).
"	"La canestre ( mot d' une région de [[France]], en l' occurence la [[Corse]] ) désigne un [[gâteau]] corse en forme généralement de cercle, d' où son nom ( du latin canistrum : panier circulaire ). Il est fait d' une pâte [[brioché]]e. On en trouve, notamment, à Petreto-Becchisano ( [[Corse-du-Sud]] ).



[[catégorie:pâtisserie corse]]
"	2010-08-15T09:18:59Z	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
1	p4830739p4970702_1140808	p4830739p4970702	1140808	False	Vgainche	857419.0	True	text/x-wiki	wikitext	63287165	63287118.0	Abbaye de Prières	False	/* Une fondation des ducs de Bretagne */	"- Sur ces possessions l'abbaye l'abbaye perçoit les droits et redevances seigneuriales.
+ Sur ces possessions l'abbaye est titulaire des droits de haute, moyenne et basse justice et perçoit les droits et redevances seigneuriales.
+ 
"	"Sur ces possessions l'abbaye l'abbaye perçoit les droits et redevances seigneuriales.
"	"Sur ces possessions l'abbaye est titulaire des droits de haute, moyenne et basse justice et perçoit les droits et redevances seigneuriales.

"	2011-03-17T15:53:43Z	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
2	p4830739p4970702_695959	p4830739p4970702	695959	False	EmDee	456411.0	True	text/x-wiki	wikitext	85456312	85456304.0	Église Saint-Estève de Guils de Cerdanya	False	/* Chevet */	"- Cette abside est surmontée d'une très belle [[frise de dents d'engrenage]] qui rappelle celles de [[église Saint-Martin d'Hix|Saint-Martin d'Hix]], de [[Église Saint-Julien d'Estavar|Saint-Julien d'Estavar]] et de [[Église Saint-Fructueux de Llo|Saint-Fructueux de Llo]] mais en moins bien conservé. Cette frise, surmontée d'une corniche biseautée, est supportée par de remarquables [[modillon]]s sculptés représentant des personnages humains et des motifs géométriques.
?                                                                                                                                                                                                                                                                                                                                                                                  ^^^^^^  ------------------------------------------------------------------------------------------
+ Cette abside est surmontée d'une très belle [[frise de dents d'engrenage]] qui rappelle celles de [[église Saint-Martin d'Hix|Saint-Martin d'Hix]], de [[Église Saint-Julien d'Estavar|Saint-Julien d'Estavar]] et de [[Église Saint-Fructueux de Llo|Saint-Fructueux de Llo]] mais en moins bien conservé. Cette frise, surmontée d'une corniche biseautée, est supportée par des [[modillon]]s sculptés représentant des personnages humains et des motifs géométriques.
?                                                                                                                                                                                                                                                                                                                                                                                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
"	"Cette abside est surmontée d'une très belle [[frise de dents d'engrenage]] qui rappelle celles de [[église Saint-Martin d'Hix|Saint-Martin d'Hix]], de [[Église Saint-Julien d'Estavar|Saint-Julien d'Estavar]] et de [[Église Saint-Fructueux de Llo|Saint-Fructueux de Llo]] mais en moins bien conservé. Cette frise, surmontée d'une corniche biseautée, est supportée par de remarquables [[modillon]]s sculptés représentant des personnages humains et des motifs géométriques.
"	"Cette abside est surmontée d'une très belle [[frise de dents d'engrenage]] qui rappelle celles de [[église Saint-Martin d'Hix|Saint-Martin d'Hix]], de [[Église Saint-Julien d'Estavar|Saint-Julien d'Estavar]] et de [[Église Saint-Fructueux de Llo|Saint-Fructueux de Llo]] mais en moins bien conservé. Cette frise, surmontée d'une corniche biseautée, est supportée par des [[modillon]]s sculptés représentant des personnages humains et des motifs géométriques.
"	2012-11-18T05:18:16Z	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
3	p4830739p4970702_5014	p4830739p4970702	5014	False	82.243.117.125		False	text/x-wiki	wikitext	55269629	55269601.0	Danse avec ta grand-mère	False		"- '''''Danse avec ta grand-mère''''' est le premier disque des [[Bombes 2 Bal ]] sorti en 2004 chez [[éditeur|Tôt ou tard]]
?                                                                                                     --------
+ '''''Danse avec ta grand-mère''''' est le premier disque des [[Bombes 2 Bal ]] sorti en 2004 chez [[Tôt ou tard]]
"	"'''''Danse avec ta grand-mère''''' est le premier disque des [[Bombes 2 Bal ]] sorti en 2004 chez [[éditeur|Tôt ou tard]]
"	"'''''Danse avec ta grand-mère''''' est le premier disque des [[Bombes 2 Bal ]] sorti en 2004 chez [[Tôt ou tard]]
"	2010-07-15T20:12:42Z	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
4	p4830739p4970702_1245843	p4830739p4970702	1245843	False	GO69	812953.0	True	text/x-wiki	wikitext	60990271	60990186.0	Église Saint-Léonard de Fougères	False		"- L'église Saint-Léonard de Fougères présente un plan de type [[plan basilical|basilical]] des plus simples. Il s'agit en effet une ample nef de neuf travées accostée de collatéraux, la première travée constituant une sorte de [[narthex]] accostée de deux chapelles. L'édifice s'apparente à une [[église halle]], le douvis couvrant la nef principale ayant cependant été porté à une hauteur supérieure aux voûtes des nefs secondaires au cours du {{S-|XIX|e}}. 
?                                                                                                                                                                                                                                              ^^^^^^^^^^^
+ L'église Saint-Léonard de Fougères présente un plan de type [[plan basilical|basilical]] des plus simples. Il s'agit en effet une ample nef de neuf travées accostée de collatéraux, la première travée constituant une sorte de [[narthex]] ouvrant sur deux chapelles (dont une sous la tour). L'édifice s'apparente à une [[église halle]], le douvis couvrant la nef principale ayant cependant été porté à une hauteur supérieure aux voûtes des nefs secondaires au cours du {{S-|XIX|e}}. 
?                                                                                                                                                                                                                                              ^^^^^^^^^^^               ++++++++++++++++++++++++
"	"L'église Saint-Léonard de Fougères présente un plan de type [[plan basilical|basilical]] des plus simples. Il s'agit en effet une ample nef de neuf travées accostée de collatéraux, la première travée constituant une sorte de [[narthex]] accostée de deux chapelles. L'édifice s'apparente à une [[église halle]], le douvis couvrant la nef principale ayant cependant été porté à une hauteur supérieure aux voûtes des nefs secondaires au cours du {{S-|XIX|e}}. 
"	"L'église Saint-Léonard de Fougères présente un plan de type [[plan basilical|basilical]] des plus simples. Il s'agit en effet une ample nef de neuf travées accostée de collatéraux, la première travée constituant une sorte de [[narthex]] ouvrant sur deux chapelles (dont une sous la tour). L'édifice s'apparente à une [[église halle]], le douvis couvrant la nef principale ayant cependant été porté à une hauteur supérieure aux voûtes des nefs secondaires au cours du {{S-|XIX|e}}. 
"	2011-01-06T15:32:09Z	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
5	p4830739p4970702_104061	p4830739p4970702	104061	False	Stockholm	354732.0	True	text/x-wiki	wikitext	125282948	125282383.0	Maladie neurovasculaire	False		"- Une maladie '''cérébrovasculaire''' présente des [[symptôme]]s de dommage [[cérébral]] qui sont attribuables à une insuffisance [[vasculaire]].
+ Une '''maladie neurovasculaire''' est une atteinte du [[système nerveux central]] due à une cause vasculaire, le plus souvent [[ischémie|ischémique]].
"	"Une maladie '''cérébrovasculaire''' présente des [[symptôme]]s de dommage [[cérébral]] qui sont attribuables à une insuffisance [[vasculaire]].
"	"Une '''maladie neurovasculaire''' est une atteinte du [[système nerveux central]] due à une cause vasculaire, le plus souvent [[ischémie|ischémique]].
"	2016-04-14T12:18:32Z	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
6	p4830739p4970702_162647	p4830739p4970702	162647	False	Mightymights	1028753.0	True	text/x-wiki	wikitext	79526262	79370841.0	Démographie de l'Europe	False		"- La [[laïcité]] est fortement implantée dans les racines du sol européen et contribue à l'augmentation de l'[[athéisme]] et de l'[[agnosticisme]].
+ La [[laïcité]] est fortement implantée dans les racines du sol européen.
"	"La [[laïcité]] est fortement implantée dans les racines du sol européen et contribue à l'augmentation de l'[[athéisme]] et de l'[[agnosticisme]].
"	"La [[laïcité]] est fortement implantée dans les racines du sol européen.
"	2012-06-07T00:06:59Z	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
7	p4830739p4970702_527312	p4830739p4970702	527312	False	Oliv0	1183429.0	True	text/x-wiki	wikitext	81927102	81924583.0	Ignace Aurélien Fessler	False	forme française Aurélien et pas Aurèle selon les notices d'autorité françaises (qui la rejettent)	"- '''Ignace Aurèle Fessler''' (en hongrois: Ignácz Aurél Fessler, en allemand: Ignaz Aurelius Feßler) ([[18 mai]] [[1756]] à [[Zurndorf]] (''Zurány en hongrois''); † [[15 décembre]] [[1839]] à [[Saint-Pétersbourg]]) fut un théologien, orientaliste, franc-maçon et superintendant général luthérien.
?              ^^^
+ '''Ignace Aurélien Fessler''' (en hongrois: Ignácz Aurél Fessler, en allemand: Ignaz Aurelius Feßler) ([[18 mai]] [[1756]] à [[Zurndorf]] (''Zurány en hongrois''); † [[15 décembre]] [[1839]] à [[Saint-Pétersbourg]]) fut un théologien, orientaliste, franc-maçon et superintendant général luthérien.
?              ^^^^^
- Après les conquêtes russes en Europe centrale en 1806, [[Mikhaïl Mikhaïlovitch Speranski]] invite Ignace Aurèle Fessler à la chaire d'hébreu de l'Académie de théologie de Saint-Pétersbourg, puis lui confie la chaire de philosophie. L'invitation avait sans doute des motivations [[franc-maçon]]nes, puisque Fessler fonda une loge à Pétersbourg, avec des réunions périodiques dans la maison du baron Rosenkampf et l'objectif de fonder un réseau de loges à travers toute la Russie. Suivi par des personnalités connues de Saint-Pétersbourg ([[Sergueï Ouvarov]], [[Alexandre Tourgueniev]]) et plusieurs membres de la Commission des Lois (Lodi, [[Mikhaïl Baloudianski]], [[Ivan Orlaï]], EE Elizen, [[Pavel Pezarovius]]) il subit l'hostilité des loges [[rosicrucien]]nes de Moscou, qui dénonçaient son rationalisme et les projets de sa loge. En 1810, ayant perdu la protection de Speranski, il est renvoyé, ses cours étant soupçonnés d'[[athéisme]] et de [[kantisme]].
?                                                                                                             ^^^
+ Après les conquêtes russes en Europe centrale en 1806, [[Mikhaïl Mikhaïlovitch Speranski]] invite Ignace Aurélien Fessler à la chaire d'hébreu de l'Académie de théologie de Saint-Pétersbourg, puis lui confie la chaire de philosophie. L'invitation avait sans doute des motivations [[franc-maçon]]nes, puisque Fessler fonda une loge à Pétersbourg, avec des réunions périodiques dans la maison du baron Rosenkampf et l'objectif de fonder un réseau de loges à travers toute la Russie. Suivi par des personnalités connues de Saint-Pétersbourg ([[Sergueï Ouvarov]], [[Alexandre Tourgueniev]]) et plusieurs membres de la Commission des Lois (Lodi, [[Mikhaïl Baloudianski]], [[Ivan Orlaï]], EE Elizen, [[Pavel Pezarovius]]) il subit l'hostilité des loges [[rosicrucien]]nes de Moscou, qui dénonçaient son rationalisme et les projets de sa loge. En 1810, ayant perdu la protection de Speranski, il est renvoyé, ses cours étant soupçonnés d'[[athéisme]] et de [[kantisme]].
?                                                                                                             ^^^^^
+ {{Autorité|BNF=12215404p|SUDOC=03081460X}}
+ 
"	"'''Ignace Aurèle Fessler''' (en hongrois: Ignácz Aurél Fessler, en allemand: Ignaz Aurelius Feßler) ([[18 mai]] [[1756]] à [[Zurndorf]] (''Zurány en hongrois''); † [[15 décembre]] [[1839]] à [[Saint-Pétersbourg]]) fut un théologien, orientaliste, franc-maçon et superintendant général luthérien.
Après les conquêtes russes en Europe centrale en 1806, [[Mikhaïl Mikhaïlovitch Speranski]] invite Ignace Aurèle Fessler à la chaire d'hébreu de l'Académie de théologie de Saint-Pétersbourg, puis lui confie la chaire de philosophie. L'invitation avait sans doute des motivations [[franc-maçon]]nes, puisque Fessler fonda une loge à Pétersbourg, avec des réunions périodiques dans la maison du baron Rosenkampf et l'objectif de fonder un réseau de loges à travers toute la Russie. Suivi par des personnalités connues de Saint-Pétersbourg ([[Sergueï Ouvarov]], [[Alexandre Tourgueniev]]) et plusieurs membres de la Commission des Lois (Lodi, [[Mikhaïl Baloudianski]], [[Ivan Orlaï]], EE Elizen, [[Pavel Pezarovius]]) il subit l'hostilité des loges [[rosicrucien]]nes de Moscou, qui dénonçaient son rationalisme et les projets de sa loge. En 1810, ayant perdu la protection de Speranski, il est renvoyé, ses cours étant soupçonnés d'[[athéisme]] et de [[kantisme]].
"	"'''Ignace Aurélien Fessler''' (en hongrois: Ignácz Aurél Fessler, en allemand: Ignaz Aurelius Feßler) ([[18 mai]] [[1756]] à [[Zurndorf]] (''Zurány en hongrois''); † [[15 décembre]] [[1839]] à [[Saint-Pétersbourg]]) fut un théologien, orientaliste, franc-maçon et superintendant général luthérien.
Après les conquêtes russes en Europe centrale en 1806, [[Mikhaïl Mikhaïlovitch Speranski]] invite Ignace Aurélien Fessler à la chaire d'hébreu de l'Académie de théologie de Saint-Pétersbourg, puis lui confie la chaire de philosophie. L'invitation avait sans doute des motivations [[franc-maçon]]nes, puisque Fessler fonda une loge à Pétersbourg, avec des réunions périodiques dans la maison du baron Rosenkampf et l'objectif de fonder un réseau de loges à travers toute la Russie. Suivi par des personnalités connues de Saint-Pétersbourg ([[Sergueï Ouvarov]], [[Alexandre Tourgueniev]]) et plusieurs membres de la Commission des Lois (Lodi, [[Mikhaïl Baloudianski]], [[Ivan Orlaï]], EE Elizen, [[Pavel Pezarovius]]) il subit l'hostilité des loges [[rosicrucien]]nes de Moscou, qui dénonçaient son rationalisme et les projets de sa loge. En 1810, ayant perdu la protection de Speranski, il est renvoyé, ses cours étant soupçonnés d'[[athéisme]] et de [[kantisme]].
{{Autorité|BNF=12215404p|SUDOC=03081460X}}

"	2012-08-15T10:24:51Z	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
8	p4830739p4970702_1090890	p4830739p4970702	1090890	False	Arsene lapin	217858.0	True	text/x-wiki	wikitext	58876873	57272979.0	Thomas Raucat	False		"- Sa mission terminée il retourne en Europe par la Chine et le Japon tout en achevant son premier roman, ''L'Honorable Partie de campagne'', basé sur sa vie au Japon et l'incompréhension entre deux civilisations. Le tout est traité avec un humour alors décapant. Poidatz signa son livre « Thomas Raucat », une approximation de la signifation phonétique de son patronyme en japonais : ne m'arrêterais-je point ici ?  (plus crûment : on va à l'hôtel ?).
+ Sa mission terminée il retourne en Europe par la Chine et le Japon tout en achevant son premier roman, ''L'Honorable Partie de campagne'', basé sur sa vie au Japon et l'incompréhension entre deux civilisations. Le tout est traité avec un humour alors décapant. Poidatz signa son livre « Thomas Raucat », une approximation de la signification phonétique de son patronyme en japonais : ne m'arrêterais-je point ici ?  (plus crûment : on va à l'hôtel ?).
?                                                                                                                                                                                                                                                                                                                                               ++
"	"Sa mission terminée il retourne en Europe par la Chine et le Japon tout en achevant son premier roman, ''L'Honorable Partie de campagne'', basé sur sa vie au Japon et l'incompréhension entre deux civilisations. Le tout est traité avec un humour alors décapant. Poidatz signa son livre « Thomas Raucat », une approximation de la signifation phonétique de son patronyme en japonais : ne m'arrêterais-je point ici ?  (plus crûment : on va à l'hôtel ?).
"	"Sa mission terminée il retourne en Europe par la Chine et le Japon tout en achevant son premier roman, ''L'Honorable Partie de campagne'', basé sur sa vie au Japon et l'incompréhension entre deux civilisations. Le tout est traité avec un humour alors décapant. Poidatz signa son livre « Thomas Raucat », une approximation de la signification phonétique de son patronyme en japonais : ne m'arrêterais-je point ici ?  (plus crûment : on va à l'hôtel ?).
"	2010-11-06T17:21:03Z	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
9	p4830739p4970702_310905	p4830739p4970702	310905	False	Jlduriez	279795.0	True	text/x-wiki	wikitext	55754690	55754614.0	Jean Diwo	False	""""	"- Il a publié en [[1990 en France|1990]] ''Les violons du roi'' aux Editions Denoël.
+ Il a publié en [[1990 en France|1990]] ''Les violons du roi'' aux [[Editions Denoël]].
?                                                                   ++               ++
"	"Il a publié en [[1990 en France|1990]] ''Les violons du roi'' aux Editions Denoël.
"	"Il a publié en [[1990 en France|1990]] ''Les violons du roi'' aux [[Editions Denoël]].
"	2010-08-01T16:22:12Z	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
